time;V(IN_CODEC_BUF);V(IN_JACK_BUF);
0,0264782;0,951101;0,682184;
0,0264882;0,927619;0,369821;
0,0264982;0,904026;0,0559987;
0,0265082;0,880415;-0,258045;
0,0265182;0,856879;-0,57107;
0,0265282;0,833511;-0,881841;
0,0265382;0,810404;-1,18913;
0,0265482;0,787649;-1,49173;
0,0265582;0,765334;-1,78844;
0,0265682;0,74355;-2,07809;
0,0265782;0,722381;-2,35955;
0,0265882;0,701911;-2,63168;
0,0265982;0,682221;-2,89344;
0,0266082;0,663388;-3,14377;
0,0266182;0,645487;-3,3817;
0,0266282;0,628589;-3,60628;
0,0266382;0,61276;-3,81663;
0,0266482;0,598062;-4,01192;
0,0266582;0,584555;-4,19137;
0,0266682;0,57229;-4,35428;
0,0266782;0,561316;-4,50001;
0,0266882;0,551677;-4,62798;
0,0266982;0,543411;-4,73768;
0,0267082;0,53655;-4,82869;
0,0267182;0,531122;-4,90064;
0,0267282;0,527148;-4,95324;
0,0267382;0,524643;-4,9863;
0,0267482;0,523617;-4,99969;
0,0267582;0,524075;-4,99334;
0,0267682;0,526014;-4,96728;
0,0267782;0,529428;-4,92162;
0,0267882;0,534302;-4,85654;
0,0267982;0,540617;-4,77229;
0,0268082;0,548349;-4,66921;
0,0268182;0,557467;-4,54769;
0,0268282;0,567934;-4,40824;
0,0268382;0,57971;-4,25138;
0,0268482;0,592749;-4,07775;
0,0268582;0,606997;-3,88802;
0,0268682;0,622401;-3,68295;
0,0268782;0,638897;-3,46334;
0,0268882;0,656423;-3,23007;
0,0268982;0,674908;-2,98405;
0,0269082;0,694279;-2,72625;
0,0269182;0,71446;-2,45769;
0,0269282;0,735371;-2,17943;
0,0269382;0,75693;-1,89257;
0,0269482;0,779052;-1,59825;
0,0269582;0,801649;-1,29761;
0,0269682;0,824632;-0,991855;
0,0269782;0,847911;-0,682184;
0,0269882;0,871394;-0,369821;
0,0269982;0,894987;-0,0559987;
0,0270082;0,918598;0,258045;
0,0270182;0,942134;0,57107;
0,0270282;0,965502;0,881841;
0,0270382;0,988609;1,18913;
0,0270482;1,01136;1,49173;
0,0270582;1,03368;1,78844;
0,0270682;1,05546;2,07809;
0,0270782;1,07663;2,35955;
0,0270882;1,0971;2,63168;
0,0270982;1,11679;2,89344;
0,0271082;1,13563;3,14377;
0,0271182;1,15353;3,3817;
0,0271282;1,17043;3,60628;
0,0271382;1,18625;3,81663;
0,0271482;1,20095;4,01192;
0,0271582;1,21446;4,19137;
0,0271682;1,22673;4,35428;
0,0271782;1,2377;4,50001;
0,0271882;1,24734;4,62798;
0,0271982;1,2556;4,73768;
0,0272082;1,26246;4,82869;
0,0272182;1,26789;4,90064;
0,0272282;1,27187;4,95324;
0,0272382;1,27437;4,9863;
0,0272482;1,2754;4,99969;
